,leveringsrichting,postcode_tot,postcode_van,sjv,soort
0,100,1011AB,1011AA,13791,ELK
1,100,1011AC,1011AC,11604,ELK
2,100,1011AC,1011AC,5611,GAS
3,100,1011AE,1011AD,876,GAS
4,100,1011AD,1011AD,4026,ELK
5,100,1011AE,1011AE,2845,ELK
6,100,1011AH,1011AG,2227,GAS
7,100,1011AG,1011AG,18753,ELK
8,100,1011AH,1011AH,3815,ELK
9,100,1011AJ,1011AJ,1664,GAS
10,100,1011AJ,1011AJ,9289,ELK
11,100,1011AK,1011AK,9286,ELK
12,100,1011AM,1011AL,11436,ELK
13,100,1011AN,1011AM,2394,GAS
14,100,1011AN,1011AN,2344,ELK
15,100,1011AP,1011AP,6250,ELK
16,100,1011AP,1011AP,3272,GAS
17,100,1011AR,1011AR,7650,ELK
18,100,1011AR,1011AR,2142,GAS
19,100,1011AS,1011AS,5856,ELK
20,100,1011AV,1011AS,4695,GAS
21,100,1011AT,1011AT,7211,ELK
22,100,1011AV,1011AV,4087,ELK
23,100,1011AW,1011AW,1262,GAS
24,100,1011AW,1011AW,2667,ELK
25,100,1011AX,1011AX,2297,GAS
26,100,1011AX,1011AX,3719,ELK
27,100,1011AZ,1011AZ,2862,ELK
28,100,1011AZ,1011AZ,1342,GAS
29,"94,74",1011BA,1011BA,2139,ELK
30,100,1011BA,1011BA,1025,GAS
31,100,1011BC,1011BB,2264,GAS
32,100,1011BC,1011BB,4654,ELK
33,"93,33",1011BD,1011BD,3577,ELK
34,100,1011BD,1011BD,2192,GAS
35,100,1011BG,1011BE,2245,ELK
36,100,1011BG,1011BE,2070,GAS
37,100,1011BH,1011BH,3060,ELK
38,100,1011BH,1011BH,1707,GAS
39,100,1011BJ,1011BJ,5624,ELK
40,100,1011BJ,1011BJ,3006,GAS
41,100,1011BK,1011BK,2418,ELK
42,100,1011BK,1011BK,1515,GAS
43,100,1011BM,1011BL,2128,ELK
44,100,1011BM,1011BL,1212,GAS
45,100,1011BN,1011BN,3066,ELK
46,100,1011BN,1011BN,1402,GAS
47,100,1011BP,1011BP,3073,ELK
48,100,1011BP,1011BP,2430,GAS
49,100,1011BR,1011BR,1694,ELK
50,100,1011BR,1011BR,1554,GAS
51,100,1011BS,1011BS,2684,ELK
52,100,1011BS,1011BS,1825,GAS
