12-31-2007 00:15:00;;;;;
Date and time;Dag;G1a profiled demand [MJ];G2a profiled demand [MJ];Totaal;Uur fractie G
01-01-2008 01:00:00;1,00;0,00008217;0,000178885;0,000261055;0,00010199
01-01-2008 02:00:00;1,00;0,00007643;0,000194528;0,000270957;0,000105858
01-01-2008 03:00:00;1,00;0,00008378;0,000207574;0,000291358;0,000113829
01-01-2008 04:00:00;1,00;0,00009538;0,00022857;0,000323953;0,000126563
01-01-2008 05:00:00;1,00;0,00011686;0,000259245;0,000376109;0,00014694
01-01-2008 06:00:00;1,00;0,00017562;0,000308066;0,000483683;0,000188967
01-01-2008 07:00:00;1,00;0,00031999;0,000379356;0,00069935;0,000273224
01-01-2008 08:00:00;1,00;0,00040054;0,000440697;0,000841237;0,000328657
01-01-2008 09:00:00;1,00;0,00039689;0,000439721;0,000836615;0,000326852
01-01-2008 10:00:00;1,00;0,00036676;0,000415443;0,0007822;0,000305593
01-01-2008 11:00:00;1,00;0,00032553;0,000394763;0,000720289;0,000281405
01-01-2008 12:00:00;1,00;0,00029238;0,000369086;0,00066147;0,000258425
01-01-2008 13:00:00;1,00;0,00028573;0,000347144;0,000632877;0,000247254
01-01-2008 14:00:00;1,00;0,00027806;0,000326777;0,000604841;0,000236301
01-01-2008 15:00:00;1,00;0,00027738;0,000315902;0,00059328;0,000231785
01-01-2008 16:00:00;1,00;0,00031523;0,000306086;0,000621316;0,000242738
01-01-2008 17:00:00;1,00;0,00035831;0,000286575;0,000644883;0,000251945
01-01-2008 18:00:00;1,00;0,00040007;0,000268597;0,000668672;0,000261239
01-01-2008 19:00:00;1,00;0,00038262;0,000255362;0,000637982;0,000249249
01-01-2008 20:00:00;1,00;0,00037292;0,000247276;0,000620197;0,000242301
01-01-2008 21:00:00;1,00;0,00033987;0,000242032;0,000581897;0,000227337
01-01-2008 22:00:00;1,00;0,00030840;0,000223173;0,000531577;0,000207678
01-01-2008 23:00:00;1,00;0,00023549;0,000204985;0,000440473;0,000172085
01-02-2008 00:00:00;1,00;0,00013253;0,000199149;0,000331676;0,00012958
01-02-2008 01:00:00;2,00;0,00008217;0,000178885;0,000261055;0,00010199
01-02-2008 02:00:00;2,00;0,00007643;0,000194528;0,000270957;0,000105858
01-02-2008 03:00:00;2,00;0,00008378;0,000207574;0,000291358;0,000113829
01-02-2008 04:00:00;2,00;0,00009538;0,00022857;0,000323953;0,000126563
01-02-2008 05:00:00;2,00;0,00011686;0,000259245;0,000376109;0,00014694
01-02-2008 06:00:00;2,00;0,00017562;0,000308066;0,000483683;0,000188967
01-02-2008 07:00:00;2,00;0,00031601;0,000368775;0,000684783;0,000267533
01-02-2008 08:00:00;2,00;0,00039819;0,000428799;0,000826993;0,000323093
01-02-2008 09:00:00;2,00;0,00040239;0,000428375;0,000830761;0,000324564
01-02-2008 10:00:00;2,00;0,00037662;0,000394484;0,000771108;0,000301259
01-02-2008 11:00:00;2,00;0,00034307;0,000370331;0,000713405;0,000278715
01-02-2008 12:00:00;2,00;0,00031597;0,000360022;0,000675991;0,000264098
01-02-2008 13:00:00;2,00;0,00030957;0,000344181;0,000653753;0,00025541
01-02-2008 14:00:00;2,00;0,00030786;0,000328912;0,000636769;0,000248775
01-02-2008 15:00:00;2,00;0,00031225;0,000322561;0,00063481;0,00024801
01-02-2008 16:00:00;2,00;0,00033368;0,000317586;0,000651267;0,000254439
01-02-2008 17:00:00;2,00;0,00036259;0,000300166;0,000662753;0,000258927
01-02-2008 18:00:00;2,00;0,00038657;0,000273071;0,000659643;0,000257712
01-02-2008 19:00:00;2,00;0,00037448;0,000250912;0,000625392;0,00024433
01-02-2008 20:00:00;2,00;0,00036290;0,000251057;0,000613954;0,000239862
01-02-2008 21:00:00;2,00;0,00033417;0,000230441;0,000564608;0,000220583
01-02-2008 22:00:00;2,00;0,00029971;0,000221726;0,000521434;0,000203716
01-02-2008 23:00:00;2,00;0,00022907;0,000198376;0,000427449;0,000166997
01-03-2008 00:00:00;2,00;0,00013063;0,000189248;0,000319882;0,000124973
01-03-2008 01:00:00;3,00;0,00007908;0,000170815;0,000249897;9,76304E-05
01-03-2008 02:00:00;3,00;0,00007456;0,000188777;0,000263332;0,000102879
01-03-2008 03:00:00;3,00;0,00007993;0,000197763;0,000277695;0,000108491
01-03-2008 04:00:00;3,00;0,00008964;0,000215495;0,00030513;0,000119209
01-03-2008 05:00:00;3,00;0,00011209;0,000238689;0,000350777;0,000137043
