STRAATNAAM,POSTCODE_VAN,POSTCODE_TOT,PRODUCTSOORT,Aantal Aansluitingen,%Leveringsrichting,%Fysieke status,SJV,%SJV laag tarief
De Ruyterkade Steigers,1011AA,1011AB,ELK,33,100,"51,52",13791,"39,39"
De Ruyterkade,1011AC,1011AC,ELK,37,100,"64,86",11604,"32,43"
De Ruyterkade,1011AC,1011AC,GAS,22,100,"72,73",5611,0
Oosterdokskade,1011AD,1011AE,GAS,11,100,"45,45",876,0
Oosterdokskade,1011AD,1011AD,ELK,19,100,"5,26",4026,"47,37"
Oosterdokskade AB,1011AE,1011AE,ELK,19,100,"36,84",2845,"31,58"
Prins Hendrikkade,1011AG,1011AH,GAS,27,100,100,2227,0
Prins Hendrikkade,1011AG,1011AG,ELK,13,100,"92,31",18753,"53,85"
Prins Hendrikkade,1011AH,1011AH,ELK,21,100,100,3815,"14,29"
Prins Hendrikkade,1011AJ,1011AJ,GAS,15,100,"93,33",1664,0
Prins Hendrikkade,1011AJ,1011AJ,ELK,19,100,"89,47",9289,"31,58"
Prins Hendrikkade,1011AK,1011AK,ELK,14,100,"71,43",9286,"28,57"
Houtkopersdwarsstraat,1011AL,1011AM,ELK,15,100,"86,67",11436,"66,67"
Prins Hendrikkade,1011AM,1011AN,GAS,29,100,"93,1",2394,0
Prins Hendrikkade,1011AN,1011AN,ELK,29,100,"86,21",2344,"48,28"
Prins Hendrikkade,1011AP,1011AP,ELK,20,100,70,6250,55
Prins Hendrikkade,1011AP,1011AP,GAS,19,100,"73,68",3272,0
Prins Hendrikkade,1011AR,1011AR,ELK,31,100,"90,32",7650,"25,81"
Prins Hendrikkade,1011AR,1011AR,GAS,19,100,100,2142,0
Prins Hendrikkade,1011AS,1011AS,ELK,12,100,"83,33",5856,50
Prins Hendrikkade,1011AS,1011AV,GAS,20,100,100,4695,0
Prins Hendrikkade,1011AT,1011AT,ELK,11,100,"90,91",7211,"27,27"
Prins Hendrikkade,1011AV,1011AV,ELK,18,100,"83,33",4087,"55,56"
Prins Hendrikkade,1011AW,1011AW,GAS,13,100,100,1262,0
Prins Hendrikkade,1011AW,1011AW,ELK,21,100,"95,24",2667,"23,81"
Buiten Bantammerstraat,1011AX,1011AX,GAS,14,100,"92,86",2297,0
Buiten Bantammerstraat,1011AX,1011AX,ELK,17,100,"82,35",3719,"70,59"
Schippersstraat,1011AZ,1011AZ,ELK,30,100,"76,67",2862,100
Schippersstraat,1011AZ,1011AZ,GAS,30,100,"73,33",1342,0
Schippersstraat,1011BA,1011BA,ELK,19,"94,74","36,84",2139,"57,89"
Schippersstraat,1011BA,1011BA,GAS,15,100,40,1025,0
Schippersstraat,1011BB,1011BC,GAS,22,100,"90,91",2264,0
Schippersstraat,1011BB,1011BC,ELK,24,100,"95,83",4654,"45,83"
Kalkmarkt,1011BD,1011BD,ELK,30,"93,33","76,67",3577,50
Kalkmarkt,1011BD,1011BD,GAS,20,100,95,2192,0
Binnenkant AB,1011BE,1011BG,ELK,26,100,"73,08",2245,"15,38"
Binnenkant AB,1011BE,1011BG,GAS,16,100,"93,75",2070,0
Binnenkant,1011BH,1011BH,ELK,34,100,"94,12",3060,"41,18"
Binnenkant,1011BH,1011BH,GAS,29,100,"96,55",1707,0
Binnenkant,1011BJ,1011BJ,ELK,22,100,"90,91",5624,"27,27"
Binnenkant,1011BJ,1011BJ,GAS,16,100,100,3006,0
Binnenkant,1011BK,1011BK,ELK,16,100,100,2418,"6,25"
Binnenkant,1011BK,1011BK,GAS,14,100,"92,86",1515,0
Binnenkant,1011BL,1011BM,ELK,23,100,"95,65",2128,"21,74"
Binnenkant,1011BL,1011BM,GAS,20,100,100,1212,0
Binnenkant,1011BN,1011BN,ELK,21,100,"71,43",3066,"9,52"
Binnenkant,1011BN,1011BN,GAS,15,100,"86,67",1402,0
Binnenkant,1011BP,1011BP,ELK,18,100,"88,89",3073,"16,67"
Binnenkant,1011BP,1011BP,GAS,15,100,"93,33",2430,0
Binnenkant,1011BR,1011BR,ELK,15,100,100,1694,20
Binnenkant,1011BR,1011BR,GAS,11,100,100,1554,0
Kromme Waal,1011BS,1011BS,ELK,29,100,"79,31",2684,"51,72"
Kromme Waal,1011BS,1011BS,GAS,28,100,75,1825,0
Kromme Waal,1011BT,1011BT,ELK,31,"96,77","93,55",2376,"45,16"
Kromme Waal,1011BT,1011BT,GAS,27,100,"96,3",1564,0
Kromme Waal,1011BV,1011BV,ELK,23,100,"65,22",2262,"56,52"
Kromme Waal,1011BV,1011BV,GAS,21,100,"66,67",1594,0
Kromme Waal,1011BW,1011BW,ELK,33,100,"96,97",2664,"72,73"
