ZAAKNUMMER,ZAAKNAAM,ADRES,ZAAK_CATEGORIE,ZAAK_SPECIFICATIE,BEGINDATUM,EINDDATUM,OPENINGSTIJDEN_ZO_DO_VAN,OPENINGSTIJDEN_ZO_DO_TOT,OPENINGSTIJDEN_VR_ZA_VAN,OPENINGSTIJDEN_VR_ZA_TOT,O_TIJDEN_TERRAS_ZO_DO_VAN,O_TIJDEN_TERRAS_ZO_DO_TOT,O_TIJDEN_TERRAS_VR_ZA_VAN,O_TIJDEN_TERRAS_VR_ZA_TOT,VERLENGING_SLUITINGSTIJD_1,VERLENGING_SLUITINGSTIJD_2,VERLENGING_SLUITINGSTIJD_3,VERLENGING_SLUITINGSTIJD_4,VERLENGING_SLUITINGSTIJD_5,VERLENGING_SLUITINGSTIJD_6,VERLENGING_SLUITINGSTIJD_7,VERLENGING_SLUITINGSTIJD_8,VERLENGING_SLUITINGSTIJD_9,VERLENGING_SLUITINGSTIJD_10,ONTHEFFING_GELUIDSVOORSCHR_1,ONTHEFFING_GELUIDSVOORSCHR_2,ONTHEFFING_GELUIDSVOORSCHR_3,ONTHEFFING_GELUIDSVOORSCHR_4,ONTHEFFING_GELUIDSVOORSCHR_5,LOCATIE_WKT,TERRASGEOMETRIE_WKT,STADSDEEL,STATUS_VERGUNNING
12188,Bête a Bon Dieu,'s-Gravelandse Veer 2,Café,Eetcafé,2017-09-01 00:00:00.0,2022-09-01 00:00:00.0,07:00,01:00,07:00,03:00,07:00,01:00,07:00,02:00,,,,,,,,,,,,,,,,POINT (4.89638270991364 52.3677976031014),"MULTIPOLYGON (((4.89639069059182 52.3677507681174, 4.89642496678134 52.3677522045553, 4.89642376337966 52.3677629642061, 4.89638948718189 52.3677615277678, 4.89639069059182 52.3677507681174)), ((4.89637513723266 52.3677501160274, 4.89637393381898 52.3677608756777, 4.89634024354231 52.3677594637799, 4.89634144696409 52.36774870413, 4.89637513723266 52.3677501160274)))",Centrum,Verleend
5715,Eureka,'s-Gravelandse Veer 3,Alcoholvrij,Lunchroom,2014-05-01 00:00:00.0,2019-05-01 00:00:00.0,07:00,03:00,07:00,04:00,07:00,01:00,07:00,02:00,,,,,,,,,,,,,,,,POINT (4.89644153685346 52.3677888590722),"MULTIPOLYGON (((4.89642462911532 52.3677630127279, 4.89642587049497 52.3677531558739, 4.89644070523173 52.3677538559188, 4.89655761969281 52.3677593729964, 4.89655637834264 52.3677692298518, 4.89652921728641 52.3677679484331, 4.89652934665446 52.3677668704602, 4.89649114783188 52.3677650676253, 4.89649101846291 52.3677661455982, 4.89642462911532 52.3677630127279)), ((4.89642587049497 52.3677531558739, 4.89642587049497 52.3677531558739, 4.89642632190573 52.3677495715633, 4.89655807109303 52.3677557886852, 4.89655761969326 52.3677593729964, 4.89644070523173 52.3677538559188, 4.89642587049497 52.3677531558739, 4.89642587049497 52.3677531558739)))",Centrum,Verleend
1220,Hotel Arena,'s-Gravesandestraat 55,Hotel,Horeca V,2016-03-01 00:00:00.0,2021-03-01 00:00:00.0,09:00,03:00,09:00,04:00,07:00,23:00,07:00,23:00,,,,,,,,,,,,,,,,POINT (4.91655685006558 52.3608421485384),,Oost,Verleend
119,Smulhoek,Aalbersestraat 258,Fastfood,Snackbar,2015-06-12 00:00:00.0,2018-06-12 00:00:00.0,07:00,01:00,07:00,03:00,,,,,,,,,,,,,,,,,,,,POINT (4.79821824135437 52.3808140254257),,Nieuw-West,Verleend
11955,Grannies,Aalsmeerweg 1,Eethuis,Specificatie n.v.t.,2017-01-04 00:00:00.0,2022-04-01 00:00:00.0,07:00,01:00,07:00,03:00,07:00,00:00,07:00,00:00,,,,,,,,,,,,,,,,POINT (4.84969149852152 52.3508511726278),"MULTIPOLYGON (((4.84964124078428 52.350904861538, 4.84976304962787 52.3509056817744, 4.84976264620413 52.3509281488933, 4.84964083729902 52.3509273286564, 4.84964124078428 52.350904861538)), ((4.84964124078428 52.350904861538, 4.84962656502032 52.3509047627059, 4.84962787233348 52.3508319692417, 4.84964254807342 52.3508320680736, 4.84964124078428 52.350904861538)))",Zuid,Verleend
10811,Wilhelmina's Bar,Aalsmeerweg 34-H,Café,Café,2014-04-30 00:00:00.0,2020-07-01 00:00:00.0,07:00,01:00,07:00,03:00,07:00,00:00,07:00,00:00,,,,,,,,,,,,,,,,POINT (4.84921729971099 52.3500131708237),,Zuid,Verleend
12281,Restaurant Helder,Aalsmeerweg 96-H,Restaurant,Specificatie n.v.t.,2017-04-03 00:00:00.0,2020-07-01 00:00:00.0,07:00,01:00,07:00,03:00,07:00,00:00,07:00,00:00,,,,,,,,,,,,,,,,POINT (4.84746442775626 52.348117796582),"MULTIPOLYGON (((4.84757313420665 52.3480894520642, 4.84754282646933 52.3480586643538, 4.84757424765743 52.3480470640827, 4.84760455540864 52.3480778517852, 4.84757313420665 52.3480894520642)), ((4.84733193938547 52.3481145361086, 4.84731830096605 52.3481006816123, 4.84748169142325 52.3480403604217, 4.8474953298752 52.3480542148994, 4.84733193938547 52.3481145361086)), ((4.84736349389892 52.3480682558164, 4.84734455165799 52.3480490134649, 4.84738225713535 52.3480350932016, 4.84736710334605 52.3480196993229, 4.84743622997804 52.3479941788177, 4.84747032605312 52.3480288150223, 4.84736349389892 52.3480682558164)))",Zuid,Verleend
14668,Noord B.V.,Aambeeldstraat 12,Café,Eetcafé,2017-08-01 00:00:00.0,2020-08-01 00:00:00.0,07:00,01:00,07:00,03:00,,,,,,,,,,,,,,,,,,,,POINT (4.92824935934883 52.3843185169345),,Noord,Verleend
11372,Monk bouldergym Amsterdam B.V.,Aambeeldstraat 26,Additionele horeca,Kantine,2018-01-01 00:00:00.0,2021-01-01 00:00:00.0,07:00,01:00,07:00,03:00,07:00,01:00,07:00,02:00,,,,,,,,,,,,,,,,POINT (4.92941846972102 52.3834692225537),,Noord,Verleend
7272,Hotel de Goudfazant,Aambeeldstraat 30,Restaurant,Specificatie n.v.t.,2015-10-01 00:00:00.0,2020-10-01 00:00:00.0,07:00,01:00,07:00,03:00,07:00,01:00,07:00,02:00,,,,,,,,,,,,,,,,POINT (4.93015032903477 52.3837147087392),,Noord,Verleend
