ZAAKNAAM,ADRES,OPENINGSTIJDEN_ZO_DO_VAN,OPENINGSTIJDEN_ZO_DO_TOT,OPENINGSTIJDEN_VR_ZA_VAN,OPENINGSTIJDEN_VR_ZA_TOT,LOCATIE_WKT
Café Hans,Amstelveenseweg 69-H,07:00,01:00,07:00,03:00,POINT (4.85601312133705 52.3536568500337)
VOF Scottadito,Amstelveenseweg 85-H,07:00,01:00,07:00,03:00,POINT (4.85625525719496 52.3530467762367)
Mangetsu B.V.,Amstelveenseweg 172-H,07:00,01:00,07:00,03:00,POINT (4.85590462154953 52.352910390637)
Coffeeshop Kooi,Amstelstraat 35,07:00,01:00,07:00,01:00,POINT (4.89939489497884 52.3662551863352)
Samsara Restaurant,Amstelveenseweg 71-H,07:00,01:00,07:00,03:00,POINT (4.85604344239036 52.353576097269)
Ice Bar,Amstel 196,07:00,01:00,07:00,03:00,POINT (4.8999804756186 52.3664103832098)
Mangiapizza,Amstelveenseweg 63-H,09:00,01:00,09:00,03:00,POINT (4.85593715706755 52.3538722126212)
Ome Joop,Amstelstraat 25,09:00,03:00,09:00,04:00,POINT (4.89899829943817 52.3662715288607)
Restaurant Pancake King,Amstelstraat 26,07:00,03:00,07:00,04:00,POINT (4.89952870492224 52.3661029481575)
Tasty Asia,Amstelstraat 27,07:00,01:00,07:00,03:00,POINT (4.89907170650241 52.3662718311468)
Sotto Pizza Holding BV,Amstelveenseweg 89-H,07:00,01:00,07:00,03:00,POINT (4.85630111319893 52.3528941919558)
Sen Viet,Amstelveenseweg 91-H,07:00,01:00,07:00,03:00,POINT (4.8563165416033 52.3528313476598)
Yang Ming,Admiraal De Ruijterweg 464,07:00,01:00,07:00,03:00,POINT (4.84801013063933 52.3841875314346)
Café-Koffiehuis De Cuyp,Albert Cuypstraat 92-H,07:00,01:00,07:00,03:00,POINT (4.89132757074718 52.3550321670608)
Hapli,Admiraal De Ruijterweg 450-H,07:00,01:00,07:00,03:00,POINT (4.84830572962489 52.3840360865278)
Caffe 500,Albert Cuypstraat 59-H,07:00,01:00,07:00,03:00,POINT (4.88925952765143 52.3548886830088)
Restaurant en Eetcafé Pamukkale,Admiraal De Ruijterweg 96-H,07:00,01:00,07:00,03:00,POINT (4.85956576410723 52.3721512301778)
Buon Giorno Espresso Bar,Admiraal De Ruijterweg 27,07:00,01:00,07:00,03:00,POINT (4.86309203715577 52.3707288573349)
Bubbel Lounge,Agatha Dekenstraat 40-H,07:00,01:00,07:00,03:00,POINT (4.86691920559227 52.3686695821958)
Coffee Company Admiralengracht B.V.,Admiralengracht 5,07:00,01:00,07:00,03:00,POINT (4.85759572165094 52.3649613611878)
Café Treffers,Admiraal De Ruijterweg 38,07:00,01:00,07:00,03:00,POINT (4.86316205836623 52.3710167694907)
Restaurant  Mehtab,Admiraal De Ruijterweg 39-H,07:00,01:00,07:00,03:00,POINT (4.86251781489797 52.3708611313056)
Lounge Café L.A.,Agatha Dekenstraat 50-H,07:00,01:00,07:00,03:00,POINT (4.86703929369274 52.3684454194971)
Surinaams-Chinees Afhaalcentrum Albina,Albert Cuypstraat 69-H,07:00,01:00,07:00,03:00,POINT (4.88962556293265 52.3549711086239)
Coffeeshop Terminator,Admiraal De Ruijterweg 104-H,07:00,01:00,07:00,01:00,POINT (4.85942870238014 52.3725640488964)
The Middle East,Damstraat 40,07:00,03:00,07:00,04:00,POINT (4.8953679292954 52.3719276775132)
Jinso Loungebar en Restaurant,Arena boulevard 155,07:00,01:00,07:00,03:00,POINT (4.94478049520438 52.3128401588984)
Grand-café Rox,Arena boulevard 156,07:00,01:00,07:00,03:00,POINT (4.93937007217118 52.3127658984354)
Villa Don,Arena boulevard 157,07:00,01:00,07:00,03:00,POINT (4.94479524844947 52.3128312263405)
Amsterdamsche Football Club Ajax,Arena boulevard 29,07:00,01:00,07:00,03:00,POINT (4.94035421444469 52.3140638400168)
Pathe Arena,Arena boulevard 600,07:00,01:00,07:00,03:00,POINT (4.94570913539996 52.3123582901481)
Burger King station Amsterdam Bijlmer,Arena boulevard 604,07:00,01:00,07:00,03:00,POINT (4.94688285535501 52.3122997459997)
LAB 111,Arie Biemondstraat 111,07:00,01:00,07:00,03:00,POINT (4.86763782035221 52.3637205711613)
Starbucks,Arena boulevard 618,07:00,01:00,07:00,03:00,POINT (4.94764652201869 52.3121857430558)
Grolsch Cine Café Arena,Arena boulevard 598,07:00,01:00,07:00,03:00,POINT (4.94545967378199 52.312375335292)
Casco Amsterdam B.V.,Asterweg 22,07:00,01:00,07:00,03:00,POINT (4.90404218122729 52.3911876787839)
WIJKCENTRUM DE TAGERIJN,Balboastraat 18,07:00,01:00,07:00,03:00,POINT (4.85537044650189 52.3693373462692)
Coffeeshop de Bommel,Balboastraat 19-H,07:00,01:00,07:00,01:00,POINT (4.85371684646005 52.3688715498996)
Locatie NRD,Asterweg 14,07:00,01:00,07:00,03:00,POINT (4.90476340118357 52.3897076754647)
Kurio's,Arena boulevard 159,07:00,01:00,07:00,03:00,POINT (4.94480991231835 52.3128312811156)
Ballini caffe e panini,Arena boulevard 54,07:00,01:00,07:00,03:00,POINT (4.93937052451053 52.3127209617876)
De VR Arcade,Asterweg 19E-1,07:00,01:00,07:00,03:00,POINT (4.90396715345201 52.3899830464715)
Villa Break,Arena boulevard 40,07:00,01:00,07:00,03:00,POINT (4.93937061497827 52.3127119744579)
Monk bouldergym Amsterdam B.V.,Aambeeldstraat 26,07:00,01:00,07:00,03:00,POINT (4.92941846972102 52.3834692225537)
Hotel de Goudfazant,Aambeeldstraat 30,07:00,01:00,07:00,03:00,POINT (4.93015032903477 52.3837147087392)
Vegan House,Admiraal De Ruijterweg 334A,07:00,01:00,07:00,03:00,POINT (4.85443757938526 52.3810080218901)
