STRAATNAAM,POSTCODE_VAN,POSTCODE_TOT,PRODUCTSOORT,Aantal Aansluitingen,%Leveringsrichting,%Fysieke status,SJV,%SJV laag tarief
De Ruyterkade,1011AC,1011AC,ELK,32,100.0,65.63,11433,28.13
De Ruyterkade,1011AC,1011AC,GAS,22,100.0,81.82,3938,0.0
Oosterdokskade,1011AD,1011AD,ELK,20,100.0,5.0,3665,45.0
Oosterdokskade,1011AD,1011AE,GAS,11,100.0,45.45,1248,0.0
Oosterdokskade AB,1011AE,1011AE,ELK,18,100.0,33.33,3117,33.33
Prins Hendrikkade,1011AG,1011AG,ELK,12,100.0,91.67,20056,58.33
Prins Hendrikkade,1011AG,1011AH,GAS,27,100.0,100.0,2199,0.0
Prins Hendrikkade,1011AH,1011AH,ELK,21,100.0,100.0,3455,14.29
Prins Hendrikkade,1011AJ,1011AJ,ELK,19,100.0,89.47,8680,26.32
Prins Hendrikkade,1011AJ,1011AJ,GAS,15,100.0,93.33,1722,0.0
Prins Hendrikkade,1011AK,1011AK,ELK,14,100.0,71.43,7019,28.57
Houtkopersdwarsstraat,1011AL,1011AM,ELK,15,100.0,86.67,8842,66.67
Prins Hendrikkade,1011AM,1011AN,GAS,28,100.0,96.43,2662,0.0
Prins Hendrikkade,1011AN,1011AN,ELK,28,100.0,92.86,2821,46.43
Prins Hendrikkade,1011AP,1011AP,ELK,20,100.0,70.0,5574,50.0
Prins Hendrikkade,1011AP,1011AP,GAS,19,100.0,73.68,2526,0.0
Prins Hendrikkade,1011AR,1011AR,ELK,32,100.0,93.75,8458,34.38
Prins Hendrikkade,1011AR,1011AR,GAS,19,100.0,100.0,2547,0.0
Prins Hendrikkade,1011AS,1011AS,ELK,12,100.0,83.33,4937,50.0
Prins Hendrikkade,1011AS,1011AV,GAS,20,100.0,100.0,5914,0.0
Prins Hendrikkade,1011AT,1011AT,ELK,11,100.0,100.0,8626,36.36
Prins Hendrikkade,1011AV,1011AV,ELK,18,100.0,83.33,4603,55.56
Prins Hendrikkade,1011AW,1011AW,ELK,21,100.0,95.24,2536,14.29
Prins Hendrikkade,1011AW,1011AW,GAS,13,100.0,100.0,1375,0.0
Buiten Bantammerstraat,1011AX,1011AX,ELK,16,100.0,87.5,5695,43.75
Buiten Bantammerstraat,1011AX,1011AX,GAS,14,100.0,92.86,2408,0.0
Schippersstraat,1011AZ,1011AZ,ELK,26,100.0,73.08,6258,88.46
Schippersstraat,1011AZ,1011AZ,GAS,26,100.0,69.23,1704,0.0
Schippersstraat,1011BA,1011BA,ELK,19,100.0,36.84,3478,52.63
Schippersstraat,1011BA,1011BA,GAS,15,100.0,40.0,1221,0.0
Schippersstraat,1011BB,1011BC,ELK,24,100.0,95.83,4414,33.33
Schippersstraat,1011BB,1011BC,GAS,22,100.0,95.45,2163,0.0
Kalkmarkt,1011BD,1011BD,ELK,29,93.1,79.31,4853,41.38
Kalkmarkt,1011BD,1011BD,GAS,19,100.0,100.0,2493,0.0
Binnenkant AB,1011BE,1011BG,ELK,27,100.0,81.48,2334,18.52
Binnenkant AB,1011BE,1011BG,GAS,16,100.0,93.75,2061,0.0
Binnenkant,1011BH,1011BH,ELK,32,100.0,93.75,3364,15.63
Binnenkant,1011BH,1011BH,GAS,28,100.0,92.86,2090,0.0
Binnenkant,1011BJ,1011BJ,ELK,22,100.0,90.91,4917,22.73
Binnenkant,1011BJ,1011BJ,GAS,16,100.0,100.0,3333,0.0
Binnenkant,1011BK,1011BK,ELK,16,100.0,100.0,2372,12.5
Binnenkant,1011BK,1011BK,GAS,14,100.0,100.0,1602,0.0
Binnenkant,1011BL,1011BM,ELK,23,100.0,100.0,2086,0.0
Binnenkant,1011BL,1011BM,GAS,20,100.0,100.0,1494,0.0
Binnenkant,1011BN,1011BN,ELK,21,100.0,71.43,3170,0.0
Binnenkant,1011BN,1011BN,GAS,15,100.0,86.67,1554,0.0
Binnenkant,1011BP,1011BP,ELK,17,100.0,88.24,3044,5.88
Binnenkant,1011BP,1011BP,GAS,14,100.0,92.86,2739,0.0
Binnenkant,1011BR,1011BR,ELK,15,100.0,100.0,2616,26.67
Binnenkant,1011BR,1011BR,GAS,11,100.0,100.0,1478,0.0
Kromme Waal,1011BS,1011BS,ELK,28,100.0,78.57,4696,50.0
Kromme Waal,1011BS,1011BS,GAS,27,100.0,74.07,2608,0.0
Kromme Waal,1011BT,1011BT,ELK,31,100.0,93.55,3095,48.39
Kromme Waal,1011BT,1011BT,GAS,27,100.0,96.3,1717,0.0
Kromme Waal,1011BV,1011BV,ELK,23,100.0,69.57,3882,47.83
Kromme Waal,1011BV,1011BV,GAS,21,100.0,66.67,1968,0.0
Kromme Waal,1011BW,1011BW,ELK,33,100.0,96.97,2671,72.73
Kromme Waal,1011BW,1011BW,GAS,27,100.0,100.0,1198,0.0
Oude Waal,1011BX,1011BX,ELK,22,100.0,100.0,1632,95.45
