STRAATNAAM,POSTCODE_VAN,POSTCODE_TOT,PRODUCTSOORT,Aantal Aansluitingen,%Leveringsrichting,%Fysieke status,SJV,%SJV laag tarief
De Ruyterkade,1011AC,1011AC,GAS,21,100,"90,48",6052,0
Oosterdokskade,1011AD,1011AH,GAS,35,100,"94,29",1933,0
Prins Hendrikkade,1011AJ,1011AJ,GAS,15,100,"93,33",1523,0
Prins Hendrikkade,1011AM,1011AN,GAS,25,100,96,2103,0
Prins Hendrikkade,1011AP,1011AP,GAS,18,100,100,2679,0
Prins Hendrikkade,1011AR,1011AR,GAS,19,100,100,2498,0
Prins Hendrikkade,1011AS,1011AV,GAS,20,100,100,5913,0
Prins Hendrikkade,1011AW,1011AW,GAS,13,100,100,1232,0
Buiten Bantammerstraat,1011AX,1011AX,GAS,13,100,"92,31",2715,0
Schippersstraat,1011AZ,1011AZ,GAS,12,100,100,2373,0
Schippersstraat,1011BA,1011BC,GAS,28,100,100,1869,0
Kalkmarkt,1011BD,1011BD,GAS,14,100,100,2927,0
Binnenkant AB,1011BE,1011BH,GAS,35,100,100,2711,0
Binnenkant,1011BJ,1011BJ,GAS,16,100,100,3470,0
Binnenkant,1011BK,1011BK,GAS,14,100,100,1639,0
Binnenkant,1011BL,1011BM,GAS,20,100,100,1702,0
Binnenkant,1011BN,1011BN,GAS,15,100,"86,67",1744,0
Binnenkant,1011BP,1011BP,GAS,13,100,100,2701,0
Binnenkant,1011BR,1011BR,GAS,11,100,100,1684,0
Kromme Waal,1011BS,1011BS,GAS,23,100,"69,57",2014,0
Kromme Waal,1011BT,1011BT,GAS,24,100,"87,5",2097,0
Kromme Waal,1011BV,1011BV,GAS,18,100,"77,78",2206,0
Kromme Waal,1011BW,1011BW,GAS,27,100,100,1196,0
Oude Waal,1011BX,1011BX,GAS,20,100,100,1105,0
Oude Waal,1011BZ,1011BZ,GAS,24,100,100,1384,0
Oude Waal,1011CA,1011CA,GAS,23,100,"78,26",1395,0
Oude Waal,1011CB,1011CB,GAS,18,100,100,1355,0
Oude Waal,1011CC,1011CC,GAS,18,100,100,1746,0
Oude Waal,1011CD,1011CD,GAS,15,100,100,1310,0
Oude Waal,1011CE,1011CH,GAS,34,100,100,1960,0
Binnen Bantammerstraat,1011CJ,1011CJ,GAS,15,100,100,1427,0
Binnen Bantammerstraat,1011CK,1011CK,GAS,12,100,100,1286,0
Binnen Bantammerstraat,1011CL,1011CM,GAS,59,100,"76,27",1607,0
Nieuwe Ridderstraat,1011CN,1011CR,GAS,20,100,95,2676,0
Recht Boomssloot,1011CS,1011CS,GAS,22,100,100,1656,0
Recht Boomssloot,1011CT,1011CT,GAS,17,100,"94,12",1160,0
Recht Boomssloot,1011CV,1011CV,GAS,17,100,100,1455,0
Recht Boomssloot,1011CW,1011CW,GAS,12,100,100,1590,0
Recht Boomssloot,1011CX,1011CX,GAS,17,100,100,1285,0
Recht Boomssloot,1011CZ,1011CZ,GAS,19,100,100,1463,0
Lastageweg,1011DB,1011EA,GAS,52,100,"94,23",2476,0
Recht Boomssloot,1011EB,1011EB,GAS,21,100,100,1079,0
Recht Boomssloot,1011EC,1011EC,GAS,18,100,"88,89",3110,0
Recht Boomssloot,1011ED,1011ED,GAS,12,100,100,1490,0
Montelbaanstraat,1011EE,1011EE,GAS,16,100,100,1115,0
Montelbaanstraat,1011EG,1011EG,GAS,21,100,100,3604,0
Geldersekade,1011EH,1011EH,GAS,32,100,"93,75",1306,0
Geldersekade,1011EJ,1011EJ,GAS,33,100,"93,94",1665,0
Geldersekade,1011EK,1011EK,GAS,22,100,"95,45",3088,0
Geldersekade,1011EL,1011EL,GAS,35,100,100,1482,0
Geldersekade,1011EM,1011EM,GAS,15,100,"93,33",2837,0
Geldersekade,1011EN,1011EN,GAS,25,100,100,3170,0
Waalsteeg,1011ER,1011ET,GAS,47,100,"97,87",1603,0
Koningsstraat,1011EV,1011EW,GAS,44,100,100,1241,0
Korte Koningsstraat,1011EX,1011EX,GAS,25,100,100,1052,0
Korte Koningsstraat,1011EZ,1011GA,GAS,31,100,100,1277,0
Korte Koningsdwarsstraat,1011GB,1011GD,GAS,60,100,100,1328,0
Korte Keizersstraat,1011GG,1011GG,GAS,19,100,100,1394,0
Korte Keizersstraat,1011GH,1011GH,GAS,20,100,100,1907,0
Korte Keizersdwarsstraat,1011GJ,1011GJ,GAS,16,100,100,1418,0
Kleersloot,1011GK,1011GL,GAS,78,100,100,909,0
Korte Dijkstraat,1011GM,1011GM,GAS,18,100,100,1498,0
Brandewijnsteeg,1011GN,1011GN,GAS,26,100,100,1389,0
Krom Boomssloot,1011GP,1011GR,GAS,37,100,100,1477,0
Krom Boomssloot,1011GS,1011GS,GAS,36,100,"97,22",1856,0
Krom Boomssloot,1011GT,1011GT,GAS,10,100,100,842,0
Krom Boomssloot,1011GV,1011GV,GAS,15,100,"86,67",1279,0
Krom Boomssloot,1011GW,1011GX,GAS,22,100,100,2262,0
Snoekjesgracht,1011GZ,1011GZ,GAS,34,100,100,993,0
Snoekjessteeg,1011HA,1011HB,GAS,205,100,"99,51",1329,0
Nieuwe Hoogstraat,1011HC,1011HC,GAS,33,100,100,1162,0
Nieuwe Hoogstraat,1011HD,1011HD,GAS,19,100,100,1372,0
Nieuwe Hoogstraat,1011HE,1011HE,GAS,17,100,100,1733,0
Nieuwe Hoogstraat,1011HG,1011HG,GAS,26,100,100,1118,0
