Dag,Totaal
1.0,103121.403004
2.0,101476.48432599999
3.0,108826.28067500002
4.0,102236.60721
5.0,100317.98152900001
6.0,97472.70597100002
7.0,100367.641398
8.0,100793.86063
9.0,98833.05147
10.0,104563.645208
11.0,100744.50228700001
12.0,98929.26010000001
13.0,97458.63660399998
14.0,98562.26291099998
15.0,100213.87986900001
16.0,96563.99307300002
17.0,103178.95482300002
18.0,99870.33977400001
19.0,95715.32976700002
20.0,95777.89645100004
21.0,97186.32103499999
22.0,98297.143146
23.0,97742.215478
24.0,102548.082712
25.0,100227.45478
26.0,96040.58335700001
27.0,94026.04155999998
28.0,97136.419271
29.0,96757.03580700001
30.0,97339.622237
31.0,101405.46596599999
32.0,98320.85079000001
33.0,96732.644141
34.0,91957.526236
35.0,95085.27370599998
36.0,96265.08462600001
37.0,95010.26268600002
38.0,101047.064843
39.0,95851.67686500002
40.0,97186.552899
41.0,92422.78044
42.0,95115.75802800001
43.0,94820.715397
44.0,95431.595188
45.0,100656.91210500002
46.0,94826.964275
47.0,95832.030588
48.0,92341.01546600001
49.0,94453.220709
50.0,91887.83080899999
51.0,93426.830463
52.0,98489.42396400003
53.0,94532.01122100001
54.0,93131.80645100001
55.0,92465.99559800001
56.0,93836.523139
57.0,90358.792588
58.0,90105.493393
59.0,98188.998102
60.0,96723.530313
61.0,92564.880348
62.0,91909.04529899999
63.0,93194.397034
64.0,89702.298702
65.0,90415.363488
66.0,96655.70267599999
67.0,93712.55188400001
68.0,89884.817735
69.0,88539.10118499999
70.0,88892.62799000001
71.0,88104.80007499998
72.0,89413.89604099999
73.0,95606.50978600001
74.0,90621.05635
75.0,87235.12445999999
76.0,85447.80394500002
77.0,85531.60707399999
78.0,86947.34873000003
79.0,88008.954186
80.0,93827.32918500001
81.0,92218.58493700002
82.0,86412.111283
83.0,83674.649377
84.0,85159.44084
85.0,85940.46571899999
86.0,87973.78870700001
87.0,90604.77060300001
88.0,86592.01274800002
89.0,88393.76578500001
90.0,83628.84609
91.0,82413.79274900001
92.0,83783.196872
93.0,84009.86001599999
94.0,87674.48361199998
95.0,84435.350546
96.0,85871.435479
97.0,83016.561428
98.0,83407.291217
99.0,84155.21216399998
100.0,81923.14675599999
101.0,88384.256239
102.0,84072.08744699998
103.0,82691.23905300001
104.0,81911.915356
105.0,82504.93301400001
106.0,82344.06794000002
107.0,79479.381009
108.0,85334.435568
109.0,80842.38684
110.0,80182.725166
111.0,79081.0732
112.0,80854.61026900001
113.0,79441.32443699997
114.0,79038.70282199999
115.0,82448.85847
116.0,79663.45679899999
117.0,79732.646562
118.0,76278.318226
119.0,77854.368481
120.0,79674.82044200001
121.0,77759.26286
122.0,79684.40694800002
123.0,78184.143995
124.0,79320.944243
125.0,75943.053169
126.0,76600.52935199998
127.0,76928.543456
128.0,75047.49554799999
129.0,79526.236262
130.0,77110.88968699999
131.0,77797.85084999999
132.0,76407.931792
133.0,75873.758148
134.0,77507.998278
135.0,76826.27054299999
136.0,79852.608877
137.0,77258.73316799999
138.0,77982.27204799998
139.0,76853.61689800001
140.0,76435.362745
141.0,78714.53634600001
142.0,78045.65508499999
143.0,80929.51793
144.0,77809.136833
145.0,77766.859579
146.0,75609.50568700001
147.0,77995.120398
148.0,76741.915059
149.0,76960.490116
150.0,79354.061395
151.0,76788.612153
152.0,76847.051646
153.0,74893.36537700001
154.0,75959.470941
155.0,75197.01510500001
156.0,76529.19747900001
157.0,77577.14178600001
158.0,75684.57995000001
159.0,77013.835049
160.0,75340.27453000001
161.0,74401.28050399998
162.0,74477.435807
163.0,76301.940604
164.0,77805.96745700002
165.0,77744.858983
166.0,77967.59553000002
167.0,74373.54702099998
168.0,75179.334664
169.0,75196.07214900001
170.0,75513.924571
171.0,76933.54829199999
172.0,77957.72266199997
173.0,78320.326205
174.0,73328.11469900001
175.0,74637.696187
176.0,74627.890018
177.0,75214.120659
178.0,76750.536737
179.0,76829.300601
180.0,78019.309651
181.0,72599.92180400001
182.0,73335.368686
183.0,73671.02217200001
184.0,75013.224959
185.0,79124.54353299999
186.0,76367.88868
187.0,77652.67224100001
188.0,75053.45647300001
189.0,75571.04480099998
190.0,76373.61369999999
191.0,75266.2113
192.0,76565.994056
193.0,75358.66260300002
194.0,75882.936232
195.0,74241.67794899999
196.0,72468.05612599998
197.0,74271.707646
198.0,71850.24956800001
199.0,73590.62078200001
200.0,72199.42937900002
201.0,73176.27662099998
202.0,71432.512773
203.0,71207.80462199998
204.0,72593.68036700001
205.0,72384.24773
206.0,73211.81862100001
207.0,71406.49521600001
208.0,70566.244746
209.0,68393.50959
210.0,68869.05281300002
211.0,70231.84749500001
212.0,72188.34545400001
213.0,72479.304494
214.0,70893.530144
215.0,70691.16358699999
216.0,68502.63514099999
217.0,69361.26378800001
218.0,70045.28218
219.0,71093.407592
220.0,73243.49039400002
221.0,71789.721257
222.0,74172.18269000002
223.0,70735.74947200001
224.0,72008.511715
225.0,72899.17487000002
226.0,74458.530163
227.0,75990.085925
228.0,75331.58420499999
229.0,77090.092345
230.0,73854.55974
231.0,74241.983947
232.0,75676.56100799999
233.0,77681.35943600001
234.0,76071.65347100001
235.0,77203.40328300002
236.0,78312.77019899999
237.0,76197.80061600002
238.0,75962.043123
239.0,78141.99067399999
240.0,77028.814383
241.0,78567.27128400002
242.0,77460.06977999999
243.0,79109.57119799999
244.0,77046.637248
245.0,76599.88494700001
246.0,79579.82625799999
247.0,76583.452808
248.0,81749.35479200001
249.0,77237.43479
250.0,77668.616915
251.0,77119.750945
252.0,79470.40489600001
253.0,79553.92498600001
254.0,78719.56852700001
255.0,81513.45394100001
256.0,78370.891427
257.0,78918.72478300001
258.0,76679.156422
259.0,79211.65519599999
260.0,79301.17757399999
261.0,79364.20690100001
262.0,82348.694954
263.0,80148.519682
264.0,82009.135153
265.0,78234.284173
266.0,78921.07268000001
267.0,79061.70109000002
268.0,81391.512662
269.0,83209.689264
270.0,82179.69184300001
271.0,83744.04524400001
272.0,79963.55499899999
273.0,81730.51288
274.0,80931.801142
275.0,84174.973198
276.0,85653.18380900001
277.0,83623.911863
278.0,84688.47381099999
279.0,81258.03277800001
280.0,83283.807702
281.0,82185.139088
282.0,86476.20758500001
283.0,87350.732474
284.0,84026.36795199999
285.0,85697.58410199998
286.0,82713.91860299997
287.0,85550.180731
288.0,85059.73267199998
289.0,88890.51260199999
290.0,89654.88611800001
291.0,85055.484206
292.0,88644.05347700001
293.0,85499.368855
294.0,87931.17954799999
295.0,85454.04661
296.0,88783.12917500001
297.0,91289.82009500002
298.0,91093.30756
299.0,91804.199695
300.0,89766.06518499998
301.0,88710.135805
302.0,86980.34193100002
303.0,89035.76606900002
304.0,92384.96786399999
305.0,93404.73120600001
306.0,93886.120641
307.0,90510.55637899999
308.0,91722.80041
309.0,89533.876896
310.0,91421.69341200001
311.0,95310.501377
312.0,93588.87058100002
313.0,94366.29729700001
314.0,91220.12298900001
315.0,93041.085292
316.0,90919.608557
317.0,92178.2509
318.0,96223.709109
319.0,93913.36745599998
320.0,95753.69492400001
321.0,91636.673347
322.0,94006.699697
323.0,93444.462246
324.0,94124.77724399998
325.0,97419.24699099999
326.0,93749.072561
327.0,96737.42533499999
328.0,90980.986211
329.0,92726.29923
330.0,93101.3017
331.0,95515.67117199999
332.0,100813.567036
333.0,95460.665043
334.0,96306.778541
335.0,93322.38967500001
336.0,93469.22877199999
337.0,93965.41434299998
338.0,96316.36598999998
339.0,101941.92116900001
340.0,97945.381997
341.0,99138.353962
342.0,96850.108756
343.0,98309.56335900002
344.0,98566.84445
345.0,99136.699616
346.0,103408.011845
347.0,99429.602978
348.0,101352.791699
349.0,98439.05024
350.0,99904.179193
351.0,100342.47439399998
352.0,101919.64330500002
353.0,107953.081902
354.0,102357.455303
355.0,102220.97639099999
356.0,99623.87716999999
357.0,100911.411223
358.0,100472.00465799996
359.0,103441.134263
360.0,103468.86572500003
361.0,103998.658365
362.0,102668.61382700001
363.0,100522.027911
364.0,102411.302138
365.0,102620.81418099998
