STRAATNAAM,POSTCODE_VAN,POSTCODE_TOT,PRODUCTSOORT,Aantal Aansluitingen,%Leveringsrichting,%Fysieke status,SJV,%SJV laag tarief
De Ruyterkade,1011AB,1011AB,ELK,24,100.0,79.17,15289,37.5
De Ruyterkade,1011AC,1011AC,ELK,31,100.0,77.42,12576,16.13
De Ruyterkade,1011AC,1011AC,GAS,21,100.0,85.71,6728,0.0
Oosterdokskade,1011AD,1011AD,ELK,21,100.0,38.1,4395,47.62
Oosterdokskade,1011AD,1011AH,GAS,35,100.0,91.43,1822,0.0
Oosterdokskade AB,1011AE,1011AE,ELK,15,100.0,40.0,3373,33.33
Prins Hendrikkade,1011AG,1011AG,ELK,12,100.0,91.67,20087,41.67
Prins Hendrikkade,1011AH,1011AH,ELK,21,100.0,100.0,3524,14.29
Prins Hendrikkade,1011AJ,1011AJ,ELK,18,100.0,94.44,2494,5.56
Prins Hendrikkade,1011AJ,1011AJ,GAS,15,100.0,93.33,1556,0.0
Prins Hendrikkade,1011AK,1011AK,ELK,13,100.0,84.62,5787,30.77
Houtkopersdwarsstraat,1011AL,1011AM,ELK,14,100.0,92.86,9117,35.71
Prins Hendrikkade,1011AM,1011AN,GAS,25,100.0,96.0,2006,0.0
Prins Hendrikkade,1011AN,1011AN,ELK,27,100.0,96.3,2723,25.93
Prins Hendrikkade,1011AP,1011AP,ELK,19,100.0,94.74,4999,15.79
Prins Hendrikkade,1011AP,1011AP,GAS,18,100.0,100.0,2774,0.0
Prins Hendrikkade,1011AR,1011AR,ELK,33,100.0,96.97,7937,27.27
Prins Hendrikkade,1011AR,1011AR,GAS,19,100.0,100.0,2750,0.0
SCHIPPERSSTR,1011AS,1011AS,ELK,13,100.0,84.62,5467,38.46
Prins Hendrikkade,1011AS,1011AV,GAS,20,100.0,100.0,5773,0.0
Prins Hendrikkade,1011AT,1011AT,ELK,17,100.0,100.0,8650,64.71
Prins Hendrikkade,1011AV,1011AV,ELK,18,100.0,94.44,4424,27.78
Prins Hendrikkade,1011AW,1011AW,ELK,21,100.0,95.24,2690,9.52
Prins Hendrikkade,1011AW,1011AW,GAS,13,100.0,100.0,1310,0.0
Buiten Bantammerstraat,1011AX,1011AX,ELK,15,100.0,86.67,4266,6.67
Buiten Bantammerstraat,1011AX,1011AX,GAS,13,100.0,92.31,2623,0.0
Schippersstraat,1011AZ,1011AZ,ELK,14,100.0,100.0,3706,14.29
Schippersstraat,1011AZ,1011AZ,GAS,12,100.0,100.0,2343,0.0
Schippersstraat,1011BA,1011BC,ELK,32,100.0,90.63,2920,9.38
Schippersstraat,1011BA,1011BC,GAS,28,100.0,92.86,1885,0.0
Kalkmarkt,1011BD,1011BD,ELK,21,100.0,76.19,4340,4.76
Kalkmarkt,1011BD,1011BD,GAS,14,100.0,100.0,2863,0.0
Binnenkant AB,1011BE,1011BE,ELK,10,100.0,100.0,2518,0.0
Binnenkant AB,1011BE,1011BH,GAS,35,100.0,100.0,2676,0.0
Binnenkant,1011BG,1011BG,ELK,17,100.0,70.59,2653,17.65
Binnenkant,1011BH,1011BH,ELK,26,100.0,96.15,4486,15.38
Binnenkant,1011BJ,1011BJ,ELK,20,100.0,95.0,7257,15.0
Binnenkant,1011BJ,1011BJ,GAS,16,100.0,100.0,3550,0.0
Binnenkant,1011BK,1011BK,ELK,16,100.0,100.0,2565,0.0
Binnenkant,1011BK,1011BK,GAS,14,100.0,100.0,1633,0.0
Binnenkant,1011BL,1011BM,ELK,23,100.0,100.0,1969,4.35
Binnenkant,1011BL,1011BM,GAS,20,100.0,100.0,1670,0.0
Binnenkant,1011BN,1011BN,ELK,21,100.0,71.43,3030,0.0
Binnenkant,1011BN,1011BN,GAS,15,100.0,86.67,1638,0.0
Binnenkant,1011BP,1011BP,ELK,17,100.0,88.24,2594,5.88
Binnenkant,1011BP,1011BP,GAS,14,100.0,92.86,2315,0.0
Binnenkant,1011BR,1011BR,ELK,15,100.0,100.0,2578,0.0
Binnenkant,1011BR,1011BR,GAS,11,100.0,100.0,1479,0.0
Kromme Waal,1011BS,1011BS,ELK,26,100.0,76.92,3146,11.54
Kromme Waal,1011BS,1011BS,GAS,23,100.0,65.22,1987,0.0
Kromme Waal,1011BT,1011BT,ELK,31,100.0,93.55,2638,3.23
Kromme Waal,1011BT,1011BT,GAS,27,100.0,96.3,1958,0.0
Kromme Waal,1011BV,1011BV,ELK,20,100.0,80.0,2874,5.0
Kromme Waal,1011BV,1011BV,GAS,18,100.0,77.78,2256,0.0
Kromme Waal,1011BW,1011BW,ELK,33,100.0,100.0,2769,6.06
Kromme Waal,1011BW,1011BW,GAS,27,100.0,100.0,1220,0.0
Oude Waal,1011BX,1011BX,ELK,22,100.0,100.0,1635,0.0
Oude Waal,1011BX,1011BX,GAS,20,100.0,100.0,1030,0.0
Oude Waal,1011BZ,1011BZ,ELK,28,100.0,92.86,3945,3.57
Oude Waal,1011BZ,1011BZ,GAS,24,100.0,100.0,1371,0.0
Oude Waal,1011CA,1011CA,ELK,37,100.0,56.76,2061,0.0
Oude Waal,1011CA,1011CA,GAS,23,100.0,78.26,1402,0.0
Oude Waal,1011CB,1011CB,ELK,23,100.0,86.96,2634,0.0
Oude Waal,1011CB,1011CB,GAS,18,100.0,100.0,1337,0.0
Oude Waal,1011CC,1011CC,ELK,20,100.0,100.0,2320,10.0
Oude Waal,1011CC,1011CC,GAS,18,100.0,100.0,1820,0.0
Oude Waal,1011CD,1011CD,GAS,15,100.0,100.0,1460,0.0
Recht Boomssloot  94 to,1011CD,1011CD,ELK,17,100.0,94.12,2208,0.0
Oude Waal,1011CE,1011CE,ELK,11,100.0,90.91,3013,0.0
Oude Waal,1011CE,1011CH,GAS,34,100.0,100.0,2426,0.0
Oude Waal AB,1011CG,1011CH,ELK,28,100.0,92.86,9953,10.71
Binnen Bantammerstraat,1011CJ,1011CJ,ELK,16,100.0,100.0,5250,12.5
Binnen Bantammerstraat,1011CJ,1011CJ,GAS,15,100.0,100.0,1394,0.0
Binnen Bantammerstraat,1011CK,1011CK,ELK,14,100.0,100.0,2382,0.0
Binnen Bantammerstraat,1011CK,1011CK,GAS,12,100.0,100.0,1319,0.0
Binnen Bantammerstraat,1011CL,1011CL,ELK,10,100.0,100.0,1876,0.0
Binnen Bantammerstraat,1011CL,1011CM,GAS,59,100.0,96.61,1598,0.0
Nieuwe Jonkerstraat,1011CM,1011CM,ELK,63,100.0,82.54,2658,1.59
Nieuwe Ridderstraat,1011CN,1011CR,ELK,27,100.0,92.59,4314,7.41
Nieuwe Ridderstraat,1011CN,1011CR,GAS,20,100.0,100.0,2818,0.0
Recht Boomssloot,1011CS,1011CS,ELK,26,100.0,100.0,1978,3.85
Recht Boomssloot,1011CS,1011CS,GAS,22,100.0,100.0,1687,0.0
Recht Boomssloot,1011CT,1011CT,ELK,18,100.0,94.44,2318,0.0
Recht Boomssloot,1011CT,1011CT,GAS,17,100.0,88.24,1170,0.0
Recht Boomssloot,1011CV,1011CV,ELK,18,100.0,100.0,2197,5.56
Recht Boomssloot,1011CV,1011CV,GAS,17,100.0,100.0,1549,0.0
Recht Boomssloot,1011CW,1011CW,ELK,14,100.0,100.0,2445,7.14
Recht Boomssloot,1011CW,1011CW,GAS,12,100.0,100.0,1234,0.0
Recht Boomssloot,1011CX,1011CX,ELK,17,100.0,100.0,2747,0.0
Recht Boomssloot,1011CX,1011CX,GAS,17,100.0,100.0,1194,0.0
Recht Boomssloot,1011CZ,1011CZ,ELK,20,100.0,95.0,2368,0.0
Recht Boomssloot,1011CZ,1011CZ,GAS,19,100.0,100.0,1454,0.0
Lastageweg,1011DB,1011DB,ELK,10,100.0,100.0,4992,10.0
Lastageweg,1011DB,1011EA,GAS,52,100.0,96.15,2014,0.0
J.W. Siebbeleshof,1011DC,1011EA,ELK,55,100.0,81.82,2885,7.27
Recht Boomssloot,1011EB,1011EB,ELK,24,100.0,100.0,1578,0.0
Recht Boomssloot,1011EB,1011EB,GAS,21,100.0,100.0,1095,0.0
Recht Boomssloot,1011EC,1011EC,ELK,19,100.0,89.47,6181,15.79
Recht Boomssloot,1011EC,1011EC,GAS,18,100.0,88.89,3155,0.0
Recht Boomssloot,1011ED,1011ED,ELK,14,100.0,100.0,4106,0.0
Recht Boomssloot,1011ED,1011ED,GAS,12,100.0,100.0,1425,0.0
Montelbaanstraat,1011EE,1011EE,ELK,16,100.0,100.0,2231,0.0
Montelbaanstraat,1011EE,1011EE,GAS,16,100.0,100.0,1173,0.0
Montelbaanstraat,1011EG,1011EG,ELK,22,100.0,90.91,1659,0.0
Montelbaanstraat,1011EG,1011EG,GAS,21,100.0,100.0,3097,0.0
Geldersekade,1011EH,1011EH,ELK,36,100.0,97.22,2297,2.78
Geldersekade,1011EH,1011EH,GAS,32,100.0,96.88,1392,0.0
Geldersekade,1011EJ,1011EJ,ELK,45,100.0,88.89,5713,6.67
Geldersekade,1011EJ,1011EJ,GAS,33,100.0,93.94,1647,0.0
Geldersekade,1011EK,1011EK,GAS,22,100.0,95.45,3117,0.0
geldersekd,1011EK,1011EK,ELK,26,100.0,96.15,6246,11.54
Geldersekade,1011EL,1011EL,ELK,47,100.0,85.11,3113,8.51
Geldersekade,1011EL,1011EL,GAS,37,100.0,94.59,1489,0.0
Geldersekade,1011EM,1011EM,ELK,23,100.0,91.3,6508,13.04
Geldersekade,1011EM,1011EM,GAS,15,100.0,93.33,2631,0.0
Geldersekade,1011EN,1011EN,ELK,30,100.0,96.67,6733,16.67
Geldersekade,1011EN,1011EN,GAS,25,100.0,100.0,2858,0.0
Waalsteeg,1011ER,1011ER,ELK,10,100.0,100.0,3921,0.0
Waalsteeg,1011ER,1011ET,GAS,47,100.0,97.87,1693,0.0
Koningsstraat,1011ES,1011ET,ELK,42,100.0,97.62,5293,11.9
Koningsstraat,1011EV,1011EW,ELK,47,100.0,100.0,3648,4.26
Koningsstraat,1011EV,1011EW,GAS,44,100.0,100.0,1305,0.0
Korte Koningsstraat,1011EX,1011EX,ELK,27,100.0,100.0,1800,3.7
Korte Koningsstraat,1011EX,1011EX,GAS,25,100.0,100.0,1023,0.0
Korte Koningsstraat,1011EZ,1011EZ,ELK,13,100.0,69.23,2916,0.0
Korte Koningsstraat,1011EZ,1011GA,GAS,31,100.0,100.0,1259,0.0
Korte Koningsstraat,1011GA,1011GA,ELK,28,100.0,92.86,2299,10.71
Korte Koningsdwarsstraat,1011GB,1011GC,ELK,21,100.0,76.19,3052,0.0
Korte Koningsdwarsstraat,1011GB,1011GD,GAS,60,100.0,100.0,1319,0.0
Keizersstraat,1011GD,1011GD,ELK,52,100.0,98.08,2487,1.92
Korte Keizersstraat,1011GG,1011GG,ELK,22,100.0,100.0,1445,4.55
Korte Keizersstraat,1011GG,1011GG,GAS,19,100.0,100.0,1410,0.0
Korte Keizersstraat,1011GH,1011GH,ELK,24,100.0,100.0,1489,0.0
Korte Keizersstraat,1011GH,1011GH,GAS,20,100.0,100.0,1182,0.0
Korte Keizersdwarsstraat,1011GJ,1011GJ,ELK,18,100.0,100.0,1812,0.0
Korte Keizersdwarsstraat,1011GJ,1011GJ,GAS,16,100.0,100.0,1416,0.0
Kleersloot,1011GK,1011GL,ELK,91,100.0,95.6,2045,3.3
Kleersloot,1011GK,1011GL,GAS,78,100.0,98.72,897,0.0
Korte Dijkstraat,1011GM,1011GM,ELK,21,100.0,95.24,2168,4.76
Korte Dijkstraat,1011GM,1011GM,GAS,18,100.0,100.0,1635,0.0
Brandewijnsteeg,1011GN,1011GN,ELK,26,100.0,100.0,1697,3.85
Brandewijnsteeg,1011GN,1011GN,GAS,26,100.0,100.0,1286,0.0
Krom Boomssloot,1011GP,1011GP,ELK,13,100.0,100.0,1328,0.0
Krom Boomssloot,1011GP,1011GR,GAS,37,100.0,100.0,1153,0.0
Krom Boomssloot,1011GR,1011GR,ELK,33,100.0,100.0,2125,12.12
Krom Boomssloot,1011GS,1011GS,ELK,42,100.0,95.24,3935,11.9
Krom Boomssloot,1011GS,1011GS,GAS,36,100.0,97.22,1691,0.0
Krom Boomssloot,1011GT,1011GT,ELK,13,100.0,100.0,2981,7.69
Krom Boomssloot,1011GT,1011GT,GAS,10,100.0,100.0,774,0.0
