STRAATNAAM,POSTCODE_VAN,POSTCODE_TOT,PRODUCTSOORT,Aantal Aansluitingen,%Leveringsrichting,%Fysieke status,SJV,%SJV laag tarief
De Ruyterkade,1011AB,1011AB,ELK,25,100.0,68.0,14592,20.0
De Ruyterkade,1011AC,1011AC,ELK,33,100.0,69.7,11278,12.12
De Ruyterkade,1011AC,1011AC,GAS,22,100.0,81.82,3517,0.0
Oosterdokskade,1011AD,1011AD,ELK,21,100.0,23.81,4270,38.1
Oosterdokskade,1011AD,1011AE,GAS,11,100.0,45.45,1274,0.0
Oosterdokskade AB,1011AE,1011AE,ELK,19,100.0,36.84,3232,26.32
Prins Hendrikkade,1011AG,1011AG,ELK,12,100.0,91.67,24266,41.67
Prins Hendrikkade,1011AG,1011AH,GAS,27,100.0,100.0,3179,0.0
Prins Hendrikkade,1011AH,1011AH,ELK,21,100.0,100.0,5106,14.29
Prins Hendrikkade,1011AJ,1011AJ,ELK,18,100.0,94.44,9606,11.11
Prins Hendrikkade,1011AJ,1011AJ,GAS,15,100.0,93.33,1997,0.0
Prins Hendrikkade,1011AK,1011AK,ELK,13,100.0,84.62,9133,23.08
Houtkopersdwarsstraat,1011AL,1011AM,ELK,14,100.0,92.86,6587,42.86
Prins Hendrikkade,1011AM,1011AN,GAS,27,100.0,96.3,2050,0.0
Prins Hendrikkade,1011AN,1011AN,ELK,28,100.0,96.43,2724,14.29
Prins Hendrikkade,1011AP,1011AP,ELK,20,100.0,95.0,4997,15.0
Prins Hendrikkade,1011AP,1011AP,GAS,19,100.0,100.0,2625,0.0
Prins Hendrikkade,1011AR,1011AR,ELK,33,100.0,93.94,7654,21.21
Prins Hendrikkade,1011AR,1011AR,GAS,19,100.0,100.0,2692,0.0
SCHIPPERSSTR,1011AS,1011AS,ELK,13,100.0,84.62,4144,15.38
Prins Hendrikkade,1011AS,1011AV,GAS,20,100.0,100.0,5821,0.0
Prins Hendrikkade,1011AT,1011AT,ELK,17,100.0,100.0,7465,23.53
Prins Hendrikkade,1011AV,1011AV,ELK,18,100.0,88.89,4697,16.67
Prins Hendrikkade,1011AW,1011AW,ELK,21,100.0,95.24,2775,9.52
Prins Hendrikkade,1011AW,1011AW,GAS,13,100.0,100.0,1434,0.0
Buiten Bantammerstraat,1011AX,1011AX,ELK,15,100.0,86.67,4219,6.67
Buiten Bantammerstraat,1011AX,1011AX,GAS,13,100.0,92.31,2702,0.0
Schippersstraat,1011AZ,1011AZ,ELK,14,100.0,100.0,3593,14.29
Schippersstraat,1011AZ,1011AZ,GAS,12,100.0,100.0,2370,0.0
Schipperstraat,1011BA,1011BA,ELK,10,100.0,30.0,1077,10.0
Schippersstraat,1011BA,1011BC,GAS,30,100.0,76.67,2001,0.0
Schippersstraat,1011BB,1011BC,ELK,24,100.0,95.83,3917,16.67
Kalkmarkt,1011BD,1011BD,ELK,22,100.0,77.27,4296,0.0
Kalkmarkt,1011BD,1011BD,GAS,14,100.0,100.0,2835,0.0
Binnenkant AB,1011BE,1011BE,ELK,10,100.0,90.0,2379,0.0
Binnenkant AB,1011BE,1011BH,GAS,43,100.0,97.67,2087,0.0
Binnenkant,1011BG,1011BG,ELK,17,100.0,70.59,2490,11.76
Binnenkant,1011BH,1011BH,ELK,32,100.0,93.75,2900,15.63
Binnenkant,1011BJ,1011BJ,ELK,21,100.0,90.48,6968,23.81
Binnenkant,1011BJ,1011BJ,GAS,16,100.0,100.0,3596,0.0
Binnenkant,1011BK,1011BK,ELK,16,100.0,100.0,2690,0.0
Binnenkant,1011BK,1011BK,GAS,14,100.0,100.0,1401,0.0
Binnenkant,1011BL,1011BM,ELK,23,100.0,100.0,1895,0.0
Binnenkant,1011BL,1011BM,GAS,20,100.0,100.0,1552,0.0
Binnenkant,1011BN,1011BN,ELK,21,100.0,71.43,3254,0.0
Binnenkant,1011BN,1011BN,GAS,15,100.0,86.67,1511,0.0
Binnenkant,1011BP,1011BP,ELK,17,100.0,88.24,3462,5.88
Binnenkant,1011BP,1011BP,GAS,14,100.0,92.86,3829,0.0
Binnenkant,1011BR,1011BR,ELK,15,100.0,100.0,2907,13.33
Binnenkant,1011BR,1011BR,GAS,11,100.0,100.0,1607,0.0
Kromme Waal,1011BS,1011BS,ELK,26,100.0,76.92,2738,7.69
Kromme Waal,1011BS,1011BS,GAS,24,100.0,66.67,2073,0.0
Kromme Waal,1011BT,1011BT,ELK,31,100.0,93.55,2553,3.23
