STRAATNAAM,POSTCODE_VAN,POSTCODE_TOT,PRODUCTSOORT,Aantal Aansluitingen,%Leveringsrichting,%Fysieke status,SJV,%SJV laag tarief
De Ruyterkade Steigers,1011AA,1011AB,ELK,32,100.0,50.0,16049,37.5
De Ruyterkade,1011AC,1011AC,ELK,34,100.0,64.71,12300,26.47
De Ruyterkade,1011AC,1011AC,GAS,22,100.0,72.73,4329,0.0
Oosterdokskade,1011AD,1011AE,GAS,11,100.0,45.45,1082,0.0
Oosterdokskade,1011AD,1011AD,ELK,19,100.0,5.26,3858,47.37
Oosterdokskade AB,1011AE,1011AE,ELK,19,100.0,36.84,2739,31.58
Prins Hendrikkade,1011AG,1011AG,ELK,12,100.0,91.67,20770,58.33
Prins Hendrikkade,1011AG,1011AH,GAS,27,100.0,100.0,2137,0.0
Prins Hendrikkade,1011AH,1011AH,ELK,21,100.0,100.0,3412,14.29
Prins Hendrikkade,1011AJ,1011AJ,ELK,19,100.0,89.47,8579,26.32
Prins Hendrikkade,1011AJ,1011AJ,GAS,15,100.0,93.33,1793,0.0
Prins Hendrikkade,1011AK,1011AK,ELK,14,100.0,71.43,8070,28.57
Houtkopersdwarsstraat,1011AL,1011AM,ELK,15,100.0,86.67,5543,66.67
Prins Hendrikkade,1011AM,1011AN,GAS,28,100.0,96.43,2088,0.0
Prins Hendrikkade,1011AN,1011AN,ELK,28,100.0,92.86,2540,46.43
Prins Hendrikkade,1011AP,1011AP,ELK,20,100.0,70.0,5983,55.0
Prins Hendrikkade,1011AP,1011AP,GAS,19,100.0,73.68,3092,0.0
Prins Hendrikkade,1011AR,1011AR,GAS,19,100.0,100.0,2259,0.0
Prins Hendrikkade,1011AR,1011AR,ELK,32,100.0,90.63,7786,31.25
Prins Hendrikkade,1011AS,1011AS,ELK,12,100.0,83.33,4188,50.0
Prins Hendrikkade,1011AS,1011AV,GAS,20,100.0,100.0,4591,0.0
Prins Hendrikkade,1011AT,1011AT,ELK,11,100.0,100.0,8056,36.36
Prins Hendrikkade,1011AV,1011AV,ELK,18,100.0,83.33,6988,55.56
Prins Hendrikkade,1011AW,1011AW,ELK,21,100.0,95.24,2678,23.81
Prins Hendrikkade,1011AW,1011AW,GAS,13,100.0,100.0,1256,0.0
Buiten Bantammerstraat,1011AX,1011AX,ELK,16,100.0,87.5,3992,62.5
Buiten Bantammerstraat,1011AX,1011AX,GAS,14,100.0,92.86,2208,0.0
Schippersstraat,1011AZ,1011AZ,ELK,30,100.0,76.67,3247,93.33
Schippersstraat,1011AZ,1011AZ,GAS,30,100.0,73.33,1630,0.0
Schippersstraat,1011BA,1011BA,GAS,15,100.0,40.0,1061,0.0
Schippersstraat,1011BA,1011BA,ELK,19,94.74,36.84,2242,57.89
Schippersstraat,1011BB,1011BC,ELK,24,100.0,95.83,4764,50.0
Schippersstraat,1011BB,1011BC,GAS,22,100.0,95.45,2335,0.0
Kalkmarkt,1011BD,1011BD,ELK,30,93.33,80.0,3720,43.33
Kalkmarkt,1011BD,1011BD,GAS,20,100.0,100.0,2103,0.0
Binnenkant AB,1011BE,1011BG,GAS,15,100.0,93.33,2145,0.0
Binnenkant AB,1011BE,1011BG,ELK,26,100.0,76.92,2221,15.38
Binnenkant,1011BH,1011BH,ELK,33,100.0,93.94,3514,21.21
Binnenkant,1011BH,1011BH,GAS,29,100.0,93.1,1862,0.0
Binnenkant,1011BJ,1011BJ,GAS,16,100.0,100.0,3194,0.0
Binnenkant,1011BJ,1011BJ,ELK,22,100.0,90.91,5540,22.73
Binnenkant,1011BK,1011BK,ELK,16,100.0,100.0,2375,6.25
Binnenkant,1011BK,1011BK,GAS,14,100.0,92.86,1602,0.0
Binnenkant,1011BL,1011BM,GAS,20,100.0,100.0,1315,0.0
Binnenkant,1011BL,1011BM,ELK,23,100.0,95.65,2068,13.04
Binnenkant,1011BN,1011BN,ELK,21,100.0,71.43,3174,4.76
Binnenkant,1011BN,1011BN,GAS,15,100.0,86.67,1583,0.0
Binnenkant,1011BP,1011BP,GAS,14,100.0,92.86,2581,0.0
Binnenkant,1011BP,1011BP,ELK,17,100.0,88.24,2492,5.88
Binnenkant,1011BR,1011BR,ELK,15,100.0,100.0,1691,26.67
Binnenkant,1011BR,1011BR,GAS,11,100.0,100.0,1644,0.0
Kromme Waal,1011BS,1011BS,ELK,29,100.0,79.31,3102,51.72
Kromme Waal,1011BS,1011BS,GAS,28,100.0,75.0,2480,0.0
Kromme Waal,1011BT,1011BT,GAS,27,100.0,96.3,1554,0.0
Kromme Waal,1011BT,1011BT,ELK,31,96.77,93.55,2414,48.39
Kromme Waal,1011BV,1011BV,ELK,23,100.0,65.22,2736,47.83
Kromme Waal,1011BV,1011BV,GAS,21,100.0,66.67,1800,0.0
Kromme Waal,1011BW,1011BW,ELK,33,100.0,96.97,2659,72.73
Kromme Waal,1011BW,1011BW,GAS,27,100.0,100.0,1170,0.0
Oude Waal,1011BX,1011BX,ELK,22,100.0,100.0,1441,95.45
Oude Waal,1011BX,1011BX,GAS,20,100.0,100.0,936,0.0
Oude Waal,1011BZ,1011BZ,ELK,28,100.0,92.86,3731,78.57
Oude Waal,1011BZ,1011BZ,GAS,25,100.0,100.0,1232,0.0
Oude Waal,1011CA,1011CA,GAS,24,100.0,79.17,1125,0.0
Oude Waal,1011CA,1011CA,ELK,37,100.0,56.76,1681,54.05
Oude Waal,1011CB,1011CB,ELK,25,100.0,80.0,2213,76.0
Oude Waal,1011CB,1011CB,GAS,18,100.0,94.44,1421,0.0
Oude Waal,1011CC,1011CC,GAS,19,100.0,89.47,1371,0.0
Oude Waal,1011CC,1011CC,ELK,21,100.0,90.48,2507,61.9
Recht Boomssloot  94 to,1011CD,1011CD,ELK,18,100.0,94.44,2613,88.89
Oude Waal,1011CD,1011CD,GAS,15,100.0,100.0,1381,0.0
Oude Waal,1011CE,1011CE,ELK,12,83.33,75.0,2101,58.33
Oude Waal,1011CE,1011CH,GAS,34,100.0,97.06,2353,0.0
Oude Waal AB,1011CG,1011CH,ELK,28,100.0,92.86,10750,17.86
Binnen Bantammerstraat,1011CJ,1011CJ,GAS,15,100.0,100.0,1276,0.0
Binnen Bantammerstraat,1011CJ,1011CJ,ELK,16,100.0,100.0,7462,12.5
Binnen Bantammerstraat,1011CK,1011CK,ELK,14,100.0,100.0,2308,0.0
Binnen Bantammerstraat,1011CK,1011CK,GAS,12,100.0,100.0,1305,0.0
Binnen Bantammerstraat,1011CL,1011CL,ELK,10,100.0,100.0,1774,0.0
Binnen Bantammerstraat,1011CL,1011CM,GAS,59,100.0,93.22,1088,0.0
Nieuwe Jonkerstraat,1011CM,1011CM,ELK,63,100.0,82.54,2334,36.51
Nieuwe Ridderstraat,1011CN,1011CN,GAS,10,100.0,30.0,2657,0.0
Nieuwe Ridderstraat,1011CN,1011CN,ELK,13,100.0,46.15,5292,61.54
Nieuwe Ridderstraat,1011CP,1011CR,GAS,16,100.0,100.0,2206,0.0
Nieuwe Ridderstraat,1011CP,1011CR,ELK,21,100.0,95.24,2329,9.52
Recht Boomssloot,1011CS,1011CS,GAS,22,100.0,100.0,1458,0.0
Recht Boomssloot,1011CS,1011CS,ELK,26,100.0,96.15,1744,0.0
Recht Boomssloot,1011CT,1011CT,GAS,17,100.0,94.12,1185,0.0
Recht Boomssloot,1011CT,1011CT,ELK,18,100.0,88.89,3038,0.0
Recht Boomssloot,1011CV,1011CV,ELK,18,100.0,100.0,1925,0.0
Recht Boomssloot,1011CV,1011CV,GAS,17,100.0,100.0,1340,0.0
Recht Boomssloot,1011CW,1011CW,GAS,13,100.0,100.0,1149,0.0
Recht Boomssloot,1011CW,1011CW,ELK,15,100.0,93.33,2514,0.0
Recht Boomssloot,1011CX,1011CX,ELK,19,100.0,100.0,2194,0.0
Recht Boomssloot,1011CX,1011CX,GAS,19,100.0,100.0,943,0.0
Recht Boomssloot,1011CZ,1011CZ,GAS,19,100.0,100.0,1249,0.0
Recht Boomssloot,1011CZ,1011CZ,ELK,22,81.82,86.36,2052,18.18
Lastageweg,1011DB,1011DD,GAS,109,100.0,97.25,898,0.0
Lastageweg,1011DB,1011DB,ELK,10,100.0,100.0,4278,10.0
J.W. Siebbeleshof,1011DC,1011DD,ELK,126,100.0,97.62,3751,96.83
W Frederik Hermansstr,1011DG,1011DG,ELK,87,100.0,98.85,2719,100.0
Oosterdoksstraat,1011DK,1011DL,ELK,68,100.0,95.59,6173,48.53
Oosterdokskade,1011DL,1011EA,GAS,46,100.0,95.65,1964,0.0
